,node_id,alertname,dc_id,dc_name,guestos_tee_active,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
1160,tr46q-xi77g-4q4ws-4bwjv-7jxfj-bw5li-on3r3-6pjk3-dxtgt-jtfsa-fqe,,hk1,HongKong 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2404:82c0:1:0:6801:efff:fe69:921a,False,Gen2,z6cfb-dbya3-nh4pm-nyteq-76n7d-xzi27-tf3cg-t7sz7-244qt-6rnjy-3ae,g2ax6-jrkmb-3zuh3-jibtb-q5xoq-njrgo-5utbc-j2o7g-zfq2w-yyhky-dqe,Wancloud limited,UNASSIGNED,Unicom,"Asia,HK,HongKong",UP,
1161,trupz-4o3zm-6itr3-6fjf3-ipbci-r2scy-pvycg-xlh4x-vtokf-avpr6-oqe,,jb1,Gauteng 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:f708:b:101:6801:ceff:feb1:a991,False,Gen2,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,Teraco,"Africa,ZA,Gauteng",UP,
1166,tu7cd-aljf3-56j73-xdusu-fyjps-sgkoi-5w3fx-p3vvd-tusca-w2vyl-bqe,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:5dff:fe30:14d4,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1168,tws6x-33lmm-tptgb-v2tte-opnm4-fychj-thpve-x4ofu-cn4vo-6yuhl-qqe,,bg1,Bogota 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2606:f180:2:0:6801:73ff:fe8f:1fb,False,Gen2,74vhn-m7sov-ufexz-rjuzq-hgidx-jls6i-xufww-phun6-s4alk-mt3ha-5qe,otzuu-dldzs-avvu2-qwowd-hdj73-aocy7-lacgi-carzj-m6f2r-ffluy-fae,Geeta Kalwani,REPLICA,EdgeUno,"South America,CO,Bogota",UP,
1170,txh2c-fneot-jj3ys-cx355-22tvp-cw3az-ohxyy-rk7ok-d7ppu-efk4t-iqe,,tb1,Tbilisi 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a0a:5000:0:3:6801:47ff:fe0a:acf6,False,Gen2,yhfy4-ny5ww-huz33-bkxym-eu27d-htlt4-yi77a-hvdqb-wpdlv-2cky7-uae,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,UNASSIGNED,Cloud9,"Asia,GE,Tbilisi",UP,
1174,tzemr-r46wi-fcc6e-ivt6z-cfg6k-yyido-j76or-bxwk4-s2dty-dsj3i-pae,,se1,Washington 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2600:c00:2:100:6801:cfff:fe6e:4397,False,Gen1,xph6u-z3z2t-s7hh7-gtlxh-bbgbx-aatlm-eab4o-bsank-nqruh-3ub4q-sae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Evocative,"North America,US,Washington",UP,
1176,u3ahx-ft3kq-pzlkr-imzus-aeqxm-cirqv-ymehh-xzctz-os4ud-3a74m-vae,,li1,Lisbon 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:1c60:0:15:6801:22ff:fe7c:8b6f,False,Gen2,y2spu-chbfj-rqcqx-dt6yl-eni7b-knczq-afpyy-tm65i-kzrlx-fjdtc-oqe,diyay-s4rfq-xnx23-zczwi-nptra-5254n-e4zn6-p7tqe-vqhzr-sd4gd-bqe,Artem Horodyskyi,UNASSIGNED,Dotsi,"Europe,PT,Lisbon",UP,
1178,u3bgl-kw7h5-djuod-zigyy-xp3ux-l6y3z-e223a-wmaki-i3kbh-fmoib-sae,,jb1,Gauteng 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:f708:b:101:6801:41ff:fe65:d483,False,Gen2,2rzvs-dyynq-3chdr-svjev-vdotj-blgs2-yrxfu-jbpm4-wzzht-zirb4-mqe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,Teraco,"Africa,ZA,Gauteng",UP,
1182,u4wm2-yrwzl-4774n-y4fkc-dgijp-woboh-5v4mi-7grjs-6z7th-zwrbm-fqe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:ecff:fe8e:7a41,False,Gen2,bm2lc-ec4xa-briqh-l3acc-wvxfw-u2mn2-3njpp-53rqa-5guxt-hyhce-7ae,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,UNASSIGNED,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1183,u4zo2-i6nsc-mowwj-lf6az-s6rdo-caskt-a6yx6-fke5w-qyezs-lyqvn-tqe,,sc1,Queensland 1,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2405:800:1000:17:6801:e9ff:feab:8948,False,Gen2,f3toa-2qbnz-67mnl-ws76t-asi36-oz7vd-w5xjx-u5n75-jchls-uhioe-6qe,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,REPLICA,NEXTDC,"Oceania,AU,Queensland",UP,
1184,u5ycx-4avna-dp4ca-svus4-iycai-cmcrg-do5ll-qmosp-segtt-5jmu7-dqe,,bt1,Vilnius 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:1ab9:f000:1542:6801:c2ff:fe06:dc8c,False,Gen2,xr5zy-ul4p7-jknh5-gvj4s-z5k3u-tufip-hwpdl-dfeh7-flo7e-sxqgi-pqe,4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,Maksym Ishchenko,REPLICA,Baltneta,"Europe,LT,Vilnius",UP,
