,node_id,alertname,dc_id,dc_name,guestos_tee_active,guestos_version,ip_address,ipv4_connectivity_status,node_hardware_generation,node_operator_id,node_provider_id,node_provider_name,node_type,owner,region,status,subnet_id
1387,yld6m-kvarh-m5a63-yxlak-4ukqc-zxa6g-aenp4-hjb3o-muwtu-h3zba-zae,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:92ff:fe52:2c52,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1394,yszpk-lt4rh-gktee-rctwj-hrajy-vbg62-jy24t-47ua3-mu55b-yxonx-zae,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:13ff:feae:7f88,False,Gen2,3bohy-zygmq-6novb-wm65r-3k3y2-deh42-7emld-zhqo7-xl2oa-iextm-fae,nmdd6-rouxw-55leh-wcbkn-kejit-njvje-p4s6e-v64d3-nlbjb-vipul-mae,Honeycomb Capital (Pty) Ltd,REPLICA,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1397,yvjtl-ctay4-gmqzg-oycu5-c3wl5-tw3je-7hivf-ktwrc-5pgve-gvs3y-kae,,se1,Washington 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2600:c00:2:100:6801:92ff:fed8:9231,False,Gen1,xph6u-z3z2t-s7hh7-gtlxh-bbgbx-aatlm-eab4o-bsank-nqruh-3ub4q-sae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,UNASSIGNED,Evocative,"North America,US,Washington",UP,
1398,yvtbq-kruz2-oflyw-uvj6t-27vqv-vvsvc-aiwpx-eg65z-emc4w-i77ll-yqe,,rg3,Riga 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a00:c68:0:5009:6801:48ff:fe9d:7456,False,Gen2,l47io-jd46a-nmebs-sybyw-wxebj-jhs7k-45d6h-xg6p6-xy5f4-6ru2n-iae,3oqw6-vmpk2-mlwlx-52z5x-e3p7u-fjlcw-yxc34-lf2zq-6ub2f-v63hk-lae,Vladyslav Popov,UNASSIGNED,Nano,"Europe,LV,Riga",UP,
1400,ywict-j2wwx-ioq63-wqlrz-pmcsg-dcxrw-ibgcp-chmr5-m3dla-cjvjk-2ae,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:a3ff:fe5a:51f,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1401,yyjdt-kk2xx-ddp26-4rioj-spbg2-pvh5w-omag3-odlzq-nscru-4k4vq-oae,,ta1,Tallinn 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:1b28:411:2448:6801:bcff:fe6e:308e,False,Gen2,z7r2x-uehbj-zovap-p6tvn-m6fso-uzoyx-coz3y-pc6gh-k2boc-aphlm-bae,4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,Maksym Ishchenko,REPLICA,InfonetDC,"Europe,EE,Tallinn",UP,
1404,yzemk-6b2rp-oacic-mfwgt-ktwl7-u2wx3-ue4ma-wafwx-lp4oc-q3dgv-uqe,IC_OrchestratorFlapping,hk4,HongKong 4,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:df7:fc80:5:6801:4dff:fe25:99fc,False,Gen2,dg7of-7gsgk-b7ptj-mcrrc-bxcae-6yg2o-oa57j-64cyo-vbc4d-t3ax5-oqe,64xe5-tx2s3-4gjmj-pnozr-fejw2-77y5y-rhcjk-glnmx-62brf-qin5q-pqe,Web3game,REPLICA,hkntt,"Asia,HK,HongKong",DEGRADED,
1413,za7cm-bcsh6-dkayq-wbbbi-5pw7l-5dsqk-7isoh-osqdi-rmcot-pswxd-aae,,hk3,HongKong 3,,44e6a4830a03f05101a33d7baeb1f92c5c8093bc,2602:ffe4:1:45:6801:c5ff:fe3f:d037,False,Gen2,4lbqo-vgpoe-kemak-voout-777uo-kk74n-fnct3-pc4eg-3txi3-7cghf-rqe,4fedi-eu6ue-nd7ts-vnof5-hzg66-hgzl7-liy5n-3otyp-h7ipw-owycg-uae,Power Meta Corporation,REPLICA,hkcolo,"Asia,HK,HongKong",DOWN,
1415,zbzin-kgyio-vai3o-ghyz4-36boi-4tjvv-7fis2-d2mlq-xk7fx-d4udt-xae,,vl2,Vilnius 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a14:5400::6801:83ff:fe33:d4ff,False,Gen2,inluf-zswst-3owy3-xklsg-jnn6r-izoj7-pf3il-fo33d-ghbka-lc34p-zqe,vegae-c4chr-aetfj-7gzuh-c23sx-u2paz-vmvbn-bcage-pu7lu-mptnn-eqe,George Bassadone,REPLICA,Data Inn,"Europe,LT,Vilnius",UP,
1420,zflhz-jyyxm-zccq2-s7jia-5nqio-alzke-6ccoe-pk3iw-bp5fz-5xd62-2qe,,jb2,Gauteng 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2c0f:e9f0:9804:9:6801:cbff:fe09:2618,True,Gen2,bm2lc-ec4xa-briqh-l3acc-wvxfw-u2mn2-3njpp-53rqa-5guxt-hyhce-7ae,unqqg-no4b2-vbyad-ytik2-t3vly-3e57q-aje2t-sjb5l-bd4ke-chggn-uqe,Karel Frank,UNASSIGNED,Africa Data Centres,"Africa,ZA,Gauteng",UP,
1421,zgeaf-fcq4e-fcnht-g7mpg-sb7ff-r6awk-zvkwp-gkloc-rr6jl-ghsse-mqe,,ta2,Tallinn 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a07:9280:0:8:6801:baff:fe1d:4706,False,Gen2,rhtt6-acsjc-c73k7-mnd7w-5253w-h35fr-lfknt-as6bb-rgxoy-xe4zr-dae,diyay-s4rfq-xnx23-zczwi-nptra-5254n-e4zn6-p7tqe-vqhzr-sd4gd-bqe,Artem Horodyskyi,REPLICA,Telia DC,"Europe,EE,Tallinn",UP,
1422,zgtrt-4vlgr-pbytl-t2yqq-qf4nk-wyoos-vrfpu-hxqcw-tcnfu-73kjb-pae,,bn1,South Moravian Region 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2a01:430:18e:0:6801:2ff:fe64:cfd9,False,GenUnknown,c3oqp-tbi6n-kbsri-citzo-vyed4-paf2i-3qlc7-4lkxm-qowqy-otcfx-pae,4r6qy-tljxg-slziw-zoteo-pboxh-vlctz-hkv2d-7zior-u3pxm-mmuxb-cae,Maksym Ishchenko,REPLICA,Master Internet,"Europe,CZ,South Moravian Region",UP,
1423,zi64g-qzbnp-3eu7w-mcz3p-2jb7a-he5lk-aru4t-goyi6-p2gtf-i4yqh-2ae,,bt1,Vilnius 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:1ab9:f002:5:6801:76ff:fe1a:3bfe,False,Gen2,mbnsu-w4xfc-pmdok-r2lwo-wxfr4-gigu5-4idcm-5uuuy-znvby-biiny-jqe,4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,MB Patrankos šūvis,UNASSIGNED,Baltneta,"Europe,LT,Vilnius",UP,
1424,zjcl6-i6eie-fllmg-27ohu-lm4cy-4dax2-7ppcd-4mgig-rtfpz-typl6-yqe,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:a6ff:fe93:48e2,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1425,zjiki-pzvnv-m4rnn-fodt3-poon4-uldx7-d3wkq-gptsu-g2mjs-boi35-3qe,,sc1,Queensland 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:df2:f540:2:6801:5ff:fe91:7eba,False,Gen2,srrm2-zawrj-4euwg-w24k6-yiwlj-ln6r7-kxkgb-itaal-efw4m-fp36x-bqe,fwnmn-zn7yt-5jaia-fkxlr-dzwyu-keguq-npfxq-mc72w-exeae-n5thj-oae,ANYPOINT PTY LTD,REPLICA,NEXTDC,"Oceania,AU,Queensland",UP,
1428,zk7wk-ueuvm-5quvh-lm6kq-etjru-i63xr-u2xmc-srfx6-uzqq4-jx5j2-nae,,bt1,Vilnius 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:1ab9:f002:5:6801:2cff:fe4c:1ff,False,Gen2,mbnsu-w4xfc-pmdok-r2lwo-wxfr4-gigu5-4idcm-5uuuy-znvby-biiny-jqe,4jjya-hlyyc-s766p-fd6gr-d6tvv-vo3ah-j5ptx-i73gw-mwgyd-rw6w2-rae,MB Patrankos šūvis,REPLICA,Baltneta,"Europe,LT,Vilnius",UP,
1432,zos66-lmcn7-satbv-gcdzj-q3cdf-4n6zc-2hlei-gc453-uoh7r-4sj3w-vqe,,sh1,Stockholm 1,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2001:4c08:2003:b09:6801:2aff:fe96:4ede,False,Gen1,lgp6d-brhlv-35izu-khc6p-rfszo-zdwng-xbtkh-xyvjg-y3due-7ha7t-uae,bvcsg-3od6r-jnydw-eysln-aql7w-td5zn-ay5m6-sibd2-jzojt-anwag-mqe,DFINITY Stiftung,REPLICA,Digital Realty,"Europe,SE,Stockholm",UP,
1437,ztrgw-a7sec-ynzfd-utn5y-lnjjs-eb3w5-3yc6s-rygch-tizry-xvjwr-uae,,mn2,Melbourne 2,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2403:f000:300:6:6801:29ff:febb:a41d,False,Gen2,l5lhp-734i5-tbott-vipvc-vud2f-pfh7r-g3227-tgkdj-4rggm-abc2e-cae,ihbuj-erwnc-tkjux-tqtnv-zkoar-uniy2-sk2go-xfpkc-znbb4-seukm-wqe,Icaria Systems Pty Ltd,REPLICA,NEXTDC,"Oceania,AU,Melbourne",UP,
1444,zzuq4-xiygt-ypkox-2tgdr-yvpzp-optye-xazeq-vnpw5-pata3-4jlle-wqe,,hk3,HongKong 3,False,199fb796c4a81ac43c6886d21bfa2b66ee3a8cd6,2602:ffe4:1:45:6801:75ff:fe37:3ebd,True,Gen2,4lbqo-vgpoe-kemak-voout-777uo-kk74n-fnct3-pc4eg-3txi3-7cghf-rqe,4fedi-eu6ue-nd7ts-vnof5-hzg66-hgzl7-liy5n-3otyp-h7ipw-owycg-uae,Power Meta Corporation,REPLICA,hkcolo,"Asia,HK,HongKong",UP,
